step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,rider_density_cv,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,baseline,4.64,0.49,0.46,0.6891891891891891,0.51,0.0,5.328,0.46,0.0,0.01345,0.5873670062235365,0.2,0.355,0.195,0.25
1,baseline,5.77,0.375,0.48,0.6218905472636815,0.42,0.0,5.416400000000001,0.76,0.0,0.01415,0.6442049363362563,0.265,0.245,0.295,0.195
2,baseline,5.255,0.42000000000000004,0.545,0.5370370370370371,0.49,0.0,5.384120000000001,1.0,17.0,0.013550000000000003,0.5958187643906492,0.225,0.245,0.23,0.3
3,baseline,5.975,0.345,0.575,0.5900900900900901,0.38,0.0,5.502296000000001,0.91,26.0,0.014750000000000001,0.689202437604511,0.27,0.305,0.205,0.22
4,baseline,5.855,0.36,0.545,0.624390243902439,0.37,0.0,5.5728368,0.77,28.0,0.01425,0.6519202405202649,0.25,0.26,0.24,0.25
5,baseline,6.455,0.30000000000000004,0.545,0.6194690265486725,0.4,0.0,5.749269440000001,0.86,18.0,0.013499999999999998,0.5916079783099616,0.2,0.27,0.285,0.245
6,baseline,6.145,0.32999999999999996,0.555,0.6411483253588517,0.38,0.0,5.828415552,0.75,14.0,0.01375,0.6123724356957945,0.2,0.28,0.215,0.305
7,baseline,5.04,0.43999999999999995,0.56,0.5989304812834224,0.46,0.0,5.6707324416,0.75,21.0,0.01495,0.7035623639735145,0.23,0.285,0.225,0.26
8,baseline,5.38,0.41000000000000003,0.52,0.6178010471204188,0.44,0.0,5.612585953280002,0.73,18.0,0.014599999999999998,0.6782329983125268,0.23,0.21,0.295,0.265
9,baseline,6.01,0.345,0.54,0.5848214285714286,0.34,0.0,5.692068762624001,0.93,18.0,0.015050000000000001,0.7106335201775947,0.25,0.26,0.23,0.26
10,baseline,5.805,0.365,0.545,0.5521739130434783,0.32,0.0,5.7146550100992,1.03,15.0,0.015,0.7071067811865476,0.245,0.26,0.26,0.235
11,baseline,6.055,0.345,0.495,0.5796460176991151,0.39,0.0,5.782724008079361,0.95,34.0,0.0137,0.6082762530298219,0.235,0.29,0.24,0.235
12,baseline,5.975,0.355,0.475,0.5466101694915254,0.36,0.0,5.821179206463489,1.07,24.0,0.014399999999999998,0.6633249580710799,0.26,0.225,0.245,0.27
13,baseline,6.565,0.29000000000000004,0.535,0.5892116182572614,0.29,0.0,5.969943365170791,0.99,27.0,0.01425,0.6519202405202649,0.26,0.24,0.29,0.21
14,baseline,5.865,0.36,0.535,0.5517241379310345,0.33,0.0,5.948954692136633,1.04,29.0,0.0153,0.7280109889280518,0.275,0.22,0.285,0.22
15,baseline,5.5,0.39,0.6,0.5700934579439252,0.42,0.0,5.859163753709306,0.92,24.0,0.015299999999999998,0.7280109889280518,0.235,0.265,0.195,0.305
16,baseline,5.85,0.36,0.55,0.5638766519823789,0.42,0.0,5.857331002967446,0.99,29.0,0.013450000000000002,0.5873670062235365,0.235,0.245,0.32,0.2
17,baseline,6.315,0.31499999999999995,0.535,0.6171171171171171,0.33,0.0,5.948864802373958,0.85,22.0,0.014250000000000002,0.6519202405202649,0.22,0.275,0.25,0.255
18,baseline,6.11,0.33999999999999997,0.49,0.5764192139737991,0.34,0.0,5.981091841899165,0.97,16.0,0.013600000000000001,0.6,0.285,0.235,0.245,0.235
19,baseline,6.01,0.345,0.54,0.5481171548117155,0.32,0.0,5.986873473519332,1.08,17.0,0.015250000000000003,0.724568837309472,0.27,0.25,0.255,0.225
20,baseline,5.07,0.43999999999999995,0.53,0.5436893203883495,0.38,0.0,5.803498778815466,0.94,33.0,0.015199999999999998,0.7211102550927979,0.245,0.28,0.235,0.24
21,baseline,5.28,0.41500000000000004,0.57,0.5652173913043478,0.39,0.0,5.6987990230523735,0.9,26.0,0.0143,0.6557438524302001,0.235,0.315,0.225,0.225
22,baseline,5.98,0.355,0.47,0.5657894736842105,0.34,0.0,5.755039218441899,0.99,19.0,0.013999999999999999,0.6324555320336759,0.255,0.275,0.265,0.205
23,baseline,5.855,0.36,0.545,0.5517241379310345,0.36,0.0,5.775031374753519,1.04,22.0,0.0144,0.6633249580710799,0.26,0.29,0.235,0.215
24,baseline,5.88,0.365,0.47,0.5669642857142857,0.36,0.0,5.796025099802815,0.97,31.0,0.015300000000000001,0.7280109889280518,0.235,0.27,0.245,0.25
25,baseline,5.495,0.4,0.505,0.547945205479452,0.38,0.0,5.735820079842253,0.99,28.0,0.01465,0.6819090848492928,0.23,0.25,0.3,0.22
26,baseline,5.755,0.37,0.545,0.5206611570247934,0.35,0.0,5.7396560638738015,1.16,24.0,0.014650000000000003,0.6819090848492928,0.2,0.365,0.215,0.22
