step,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,4.64,0.49,0.46,0.6891891891891891,0.51,5.728,0.46,0.0,0.01345,0.2,0.355,0.195,0.25
1,5.77,0.375,0.48,0.6218905472636815,0.42,5.736400000000001,0.76,0.0,0.01415,0.265,0.245,0.295,0.195
2,5.645,0.38,0.555,0.5740740740740741,0.44,5.718120000000002,0.92,17.0,0.014350000000000003,0.22,0.225,0.275,0.28
3,5.83,0.36,0.57,0.5844748858447488,0.37,5.740496,0.91,24.0,0.01395,0.225,0.285,0.255,0.235
4,5.8,0.37,0.5,0.5753424657534246,0.39,5.752396800000001,0.93,19.0,0.01385,0.265,0.24,0.23,0.265
5,6.32,0.31999999999999995,0.48,0.591304347826087,0.39,5.865917440000001,0.94,20.0,0.01395,0.28,0.235,0.305,0.18
6,5.19,0.43000000000000005,0.51,0.5277777777777778,0.38,5.730733952000001,1.02,25.0,0.01435,0.235,0.23,0.235,0.3
7,5.265,0.42500000000000004,0.485,0.5609756097560976,0.43,5.637587161600001,0.9,27.0,0.013900000000000003,0.26,0.265,0.25,0.225
8,4.83,0.46499999999999997,0.52,0.5515463917525774,0.48,5.476069729280002,0.87,30.0,0.014700000000000001,0.235,0.265,0.25,0.25
9,5.735,0.375,0.515,0.5458515283842795,0.4,5.527855783424001,1.04,21.0,0.01395,0.29,0.215,0.235,0.26
10,6.295,0.31999999999999995,0.505,0.5551020408163265,0.36,5.681284626739202,1.09,25.0,0.013400000000000002,0.305,0.23,0.235,0.23
11,5.255,0.42000000000000004,0.545,0.5178571428571429,0.4,5.59602770139136,1.08,29.0,0.014450000000000001,0.265,0.255,0.265,0.215
12,5.85,0.365,0.5,0.5906976744186047,0.39,5.646822161113089,0.88,31.0,0.014350000000000002,0.25,0.255,0.245,0.25
13,6.275,0.31999999999999995,0.525,0.5991189427312775,0.32,5.772457728890472,0.91,29.0,0.014600000000000002,0.22,0.285,0.255,0.24
14,5.625,0.385,0.525,0.5720930232558139,0.38,5.742966183112378,0.92,18.0,0.0145,0.255,0.22,0.255,0.27
15,5.665,0.385,0.485,0.6307692307692307,0.39,5.727372946489902,0.72,19.0,0.013649999999999999,0.27,0.235,0.31,0.185
16,4.68,0.48,0.52,0.5174129353233831,0.44,5.517898357191923,0.97,25.0,0.014949999999999998,0.265,0.22,0.255,0.26
17,6.235,0.31999999999999995,0.565,0.5483870967741935,0.34,5.661318685753538,1.12,15.0,0.01385,0.235,0.24,0.315,0.21
18,5.965,0.355,0.485,0.5397489539748954,0.36,5.722054948602831,1.1,31.0,0.014200000000000003,0.29,0.255,0.245,0.21
19,5.775,0.37,0.525,0.6028708133971292,0.42,5.732643958882265,0.83,36.0,0.01395,0.245,0.28,0.24,0.235
20,6.16,0.32999999999999996,0.54,0.6203703703703703,0.36,5.818115167105812,0.82,20.0,0.013800000000000002,0.32,0.205,0.27,0.205
21,5.41,0.41000000000000003,0.49,0.6082474226804123,0.44,5.736492133684648,0.76,18.0,0.013850000000000003,0.285,0.28,0.285,0.15
22,5.37,0.41000000000000003,0.53,0.59,0.33,5.66319370694772,0.82,22.0,0.0161,0.29,0.205,0.275,0.23
23,5.975,0.345,0.575,0.5954545454545455,0.38,5.725554965558176,0.89,12.0,0.0148,0.19,0.285,0.3,0.225
24,5.715,0.38,0.485,0.6138613861386139,0.41,5.723443972446542,0.78,21.0,0.013999999999999999,0.29,0.25,0.25,0.21
25,4.905,0.46499999999999997,0.445,0.5219512195121951,0.41,5.559755177957234,0.98,23.0,0.0151,0.26,0.24,0.25,0.25
26,5.705,0.375,0.545,0.51440329218107,0.36,5.588804142365786,1.18,26.0,0.01475,0.27,0.235,0.23,0.265
27,5.945,0.355,0.505,0.581081081081081,0.36,5.660043313892629,0.93,25.0,0.01435,0.25,0.225,0.27,0.255
28,5.095,0.43999999999999995,0.505,0.5628140703517588,0.42,5.547034651114104,0.87,28.0,0.014950000000000001,0.31,0.215,0.25,0.225
29,5.89,0.36,0.51,0.5871559633027523,0.38,5.615627720891284,0.9,23.0,0.015000000000000001,0.265,0.215,0.29,0.23
30,5.025,0.43999999999999995,0.575,0.56,0.39,5.497502176713026,0.88,22.0,0.015200000000000002,0.275,0.3,0.215,0.21
31,6.235,0.32499999999999996,0.515,0.6192660550458715,0.36,5.6450017413704225,0.83,18.0,0.014,0.27,0.195,0.325,0.21
32,5.21,0.42500000000000004,0.54,0.583756345177665,0.41,5.558001393096338,0.82,26.0,0.015700000000000002,0.27,0.21,0.29,0.23
33,5.595,0.39,0.505,0.5327510917030568,0.38,5.56540111447707,1.07,18.0,0.014450000000000001,0.285,0.225,0.3,0.19
34,4.8,0.46499999999999997,0.55,0.49767441860465117,0.46,5.412320891581655,1.08,26.0,0.01335,0.3,0.24,0.23,0.23
35,5.165,0.42500000000000004,0.585,0.5450236966824644,0.42,5.362856713265326,0.96,38.0,0.01565,0.275,0.225,0.285,0.215
36,5.87,0.365,0.48,0.5619469026548672,0.42,5.46428537061226,0.99,29.0,0.014900000000000002,0.295,0.185,0.275,0.245
37,6.745,0.275,0.505,0.5823293172690763,0.28,5.720428296489809,1.04,29.0,0.014250000000000002,0.24,0.225,0.295,0.24
38,6.12,0.33499999999999996,0.53,0.5341365461847389,0.38,5.800342637191847,1.16,19.0,0.0146,0.285,0.245,0.21,0.26
39,6.385,0.31499999999999995,0.465,0.5732217573221757,0.31,5.917274109753477,1.02,33.0,0.0147,0.315,0.225,0.255,0.205
40,5.365,0.41000000000000003,0.535,0.5388127853881278,0.4,5.8068192878027824,1.01,37.0,0.0148,0.3,0.21,0.265,0.225
41,6.095,0.33999999999999997,0.505,0.5665236051502146,0.36,5.864455430242226,1.01,22.0,0.013600000000000001,0.23,0.235,0.225,0.31
42,5.4,0.405,0.55,0.5613207547169812,0.38,5.771564344193781,0.93,37.0,0.014100000000000001,0.295,0.245,0.26,0.2
