step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,demand_only,4.675,0.48,0.525,0.7027027027027027,0.51,0.24666666666666667,5.335,0.44,0.0,0.014150000000000001,0.24,0.27,0.215,0.275
1,demand_only,5.725,0.37,0.575,0.6666666666666666,0.41,0.24166666666666667,5.412999999999999,0.63,0.0,0.013750000000000002,0.25,0.285,0.23,0.235
2,demand_only,6.36,0.30500000000000005,0.59,0.7055837563451777,0.41,0.21142857142857138,5.6024,0.58,14.0,0.0144,0.25,0.27,0.25,0.23
3,demand_only,5.535,0.385,0.615,0.634020618556701,0.39,0.2366666666666667,5.588920000000001,0.71,6.0,0.01545,0.25,0.31,0.28,0.16
4,demand_only,6.07,0.33999999999999997,0.53,0.6055045871559633,0.39,0.3360000000000001,5.685136,0.86,21.0,0.01455,0.305,0.245,0.195,0.255
5,demand_only,5.67,0.37,0.63,0.6086956521739131,0.44,0.34,5.682108800000001,0.81,15.0,0.0158,0.24,0.29,0.225,0.245
6,demand_only,5.99,0.33499999999999996,0.66,0.6683417085427136,0.4,0.302,5.743687040000001,0.66,33.0,0.014500000000000002,0.21,0.25,0.255,0.285
7,demand_only,5.635,0.375,0.615,0.6410256410256411,0.35,0.284,5.721949632000001,0.7,13.0,0.0165,0.26,0.295,0.21,0.235
8,demand_only,6.815,0.265,0.535,0.6504424778761062,0.33,0.295,5.940559705600001,0.79,21.0,0.013850000000000001,0.275,0.275,0.215,0.235
9,demand_only,5.81,0.36,0.59,0.6037735849056604,0.4,0.294,5.914447764480001,0.84,14.0,0.014650000000000002,0.24,0.25,0.23,0.28
10,demand_only,6.21,0.31999999999999995,0.59,0.6834170854271356,0.39,0.28600000000000003,5.973558211584,0.63,28.0,0.013900000000000003,0.24,0.315,0.215,0.23
11,demand_only,5.49,0.395,0.56,0.6111111111111112,0.4,0.25,5.8768465692672,0.77,15.0,0.015999999999999997,0.255,0.2,0.265,0.28
12,demand_only,6.31,0.30500000000000005,0.64,0.6318181818181818,0.38,0.326,5.963477255413761,0.81,20.0,0.015050000000000001,0.25,0.325,0.2,0.225
13,demand_only,6.18,0.31999999999999995,0.62,0.5862068965517241,0.37,0.2866666666666667,6.006781804331008,0.96,21.0,0.0158,0.25,0.295,0.2,0.255
14,demand_only,5.7,0.37,0.6,0.6,0.44,0.27,5.945425443464808,0.84,21.0,0.0152,0.2,0.265,0.275,0.26
15,demand_only,5.915,0.35,0.585,0.6132075471698113,0.38,0.324,5.939340354771847,0.82,34.0,0.014599999999999998,0.195,0.285,0.24,0.28
16,demand_only,6.78,0.265,0.57,0.6391304347826087,0.29,0.4075,6.1074722838174775,0.83,15.0,0.014499999999999997,0.27,0.285,0.22,0.225
17,demand_only,5.905,0.345,0.645,0.6064814814814815,0.37,0.2157142857142857,6.066977827053981,0.85,18.0,0.01555,0.21,0.24,0.285,0.265
18,demand_only,5.795,0.36,0.605,0.6213592233009708,0.39,0.235,6.012582261643185,0.78,20.0,0.01425,0.235,0.225,0.255,0.285
19,demand_only,6.25,0.31499999999999995,0.6,0.6342592592592593,0.31,0.324,6.0600658093145485,0.79,24.0,0.015250000000000001,0.265,0.225,0.29,0.22
20,demand_only,6.09,0.33499999999999996,0.56,0.6487804878048781,0.38,0.24166666666666664,6.066052647451639,0.72,19.0,0.01485,0.23,0.26,0.255,0.255
21,demand_only,6.2,0.31999999999999995,0.6,0.6445497630331753,0.38,0.31200000000000006,6.092842117961311,0.75,17.0,0.0143,0.225,0.275,0.26,0.24
22,demand_only,5.63,0.38,0.57,0.6424870466321243,0.45,0.33,6.00027369436905,0.69,14.0,0.014650000000000002,0.235,0.235,0.235,0.295
23,demand_only,5.66,0.38,0.54,0.62,0.39,0.2516666666666667,5.93221895549524,0.76,20.0,0.0158,0.23,0.265,0.25,0.255
24,demand_only,4.915,0.45499999999999996,0.535,0.6089385474860335,0.45,0.24600000000000002,5.728775164396193,0.7,20.0,0.015350000000000003,0.22,0.285,0.215,0.28
25,demand_only,5.54,0.385,0.61,0.6,0.45,0.31,5.691020131516953,0.82,20.0,0.0158,0.22,0.3,0.24,0.24
26,demand_only,5.44,0.395,0.61,0.5654205607476636,0.38,0.292,5.640816105213563,0.93,14.0,0.01585,0.22,0.305,0.255,0.22
27,demand_only,6.235,0.31999999999999995,0.565,0.5811965811965812,0.33,0.2428571428571428,5.75965288417085,0.98,29.0,0.0153,0.235,0.265,0.245,0.255
28,demand_only,5.835,0.36,0.565,0.6095238095238096,0.39,0.22,5.774722307336681,0.82,20.0,0.01365,0.21,0.33,0.215,0.245
29,demand_only,6.18,0.32499999999999996,0.57,0.5973451327433629,0.38,0.27166666666666667,5.855777845869345,0.91,19.0,0.014999999999999998,0.23,0.225,0.27,0.275
30,demand_only,5.37,0.405,0.58,0.5979899497487438,0.41,0.27399999999999997,5.758622276695475,0.8,29.0,0.0147,0.225,0.275,0.245,0.255
