step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,rider_density_cv,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,baseline,4.96,0.46499999999999997,0.39,0.7482517482517482,0.52,0.0,5.392,0.36,0.0,0.01245,0.4949747468305833,0.255,0.28,0.22,0.245
1,baseline,5.305,0.42000000000000004,0.495,0.6408839779005525,0.46,0.0,5.3746,0.65,0.0,0.0134,0.5830951894845301,0.235,0.255,0.26,0.25
2,baseline,5.83,0.365,0.52,0.5990566037735849,0.38,0.0,5.465680000000001,0.85,8.0,0.0148,0.6928203230275509,0.175,0.275,0.33,0.22
3,baseline,5.76,0.37,0.54,0.5727272727272728,0.37,0.0,5.524544000000001,0.94,18.0,0.0144,0.6633249580710799,0.25,0.27,0.275,0.205
4,baseline,6.175,0.31999999999999995,0.625,0.6476190476190476,0.33,0.0,5.6546352,0.74,32.0,0.013949999999999999,0.6284902544988268,0.285,0.235,0.245,0.235
5,baseline,5.44,0.405,0.51,0.6134020618556701,0.43,0.0,5.611708160000001,0.75,16.0,0.0145,0.6708203932499369,0.22,0.235,0.275,0.27
6,baseline,5.515,0.395,0.535,0.6269430051813472,0.42,0.0,5.592366528,0.72,19.0,0.0147,0.6855654600401044,0.235,0.29,0.245,0.23
7,baseline,5.99,0.35,0.51,0.6532663316582915,0.39,0.0,5.6718932224000005,0.69,20.0,0.014850000000000002,0.6964194138592059,0.3,0.22,0.265,0.215
8,baseline,6.45,0.30500000000000005,0.5,0.5791666666666667,0.34,0.0,5.8275145779200015,1.01,12.0,0.0139,0.6244997998398398,0.335,0.23,0.24,0.195
9,baseline,6.26,0.31999999999999995,0.54,0.5643153526970954,0.36,0.0,5.914011662336001,1.05,20.0,0.01465,0.6819090848492928,0.23,0.335,0.23,0.205
10,baseline,5.39,0.41000000000000003,0.51,0.5198237885462555,0.41,0.0,5.809209329868801,1.09,24.0,0.0151,0.714142842854285,0.265,0.29,0.275,0.17
11,baseline,5.9,0.36,0.5,0.540084388185654,0.4,0.0,5.827367463895041,1.09,31.0,0.01465,0.6819090848492928,0.22,0.255,0.275,0.25
12,baseline,6.175,0.32999999999999996,0.525,0.575107296137339,0.34,0.0,5.896893971116032,0.99,38.0,0.01415,0.6442049363362563,0.225,0.275,0.22,0.28
13,baseline,6.095,0.33999999999999997,0.505,0.584070796460177,0.38,0.0,5.936515176892827,0.94,23.0,0.014050000000000002,0.6363961030678927,0.245,0.265,0.315,0.175
14,baseline,5.9,0.36,0.5,0.6124401913875598,0.41,0.0,5.9292121415142605,0.81,22.0,0.013350000000000004,0.5787918451395113,0.22,0.25,0.32,0.21
15,baseline,5.28,0.41500000000000004,0.57,0.585,0.43,0.0,5.799369713211409,0.83,26.0,0.014250000000000002,0.6519202405202649,0.25,0.22,0.27,0.26
