step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,baseline,5.13,0.44499999999999995,0.42,0.74,0.46,0.0,5.426000000000001,0.39,0.0,0.013600000000000001,0.265,0.24,0.255,0.24
1,baseline,4.525,0.495,0.525,0.5872093023255814,0.55,0.0,5.2458,0.71,0.0,0.013149999999999998,0.25,0.265,0.245,0.24
2,baseline,6.075,0.33499999999999996,0.575,0.6244131455399061,0.4,0.0,5.41164,0.8,11.0,0.014050000000000002,0.27,0.27,0.24,0.22
3,baseline,5.805,0.365,0.545,0.5879629629629629,0.4,0.0,5.490312000000001,0.89,22.0,0.014500000000000002,0.24,0.21,0.325,0.225
4,baseline,6.565,0.29000000000000004,0.535,0.5966386554621849,0.31,0.0,5.705249600000001,0.96,13.0,0.01455,0.31,0.175,0.255,0.26
5,baseline,6.455,0.30000000000000004,0.545,0.5833333333333334,0.32,0.0,5.855199680000001,1.0,22.0,0.01395,0.28,0.215,0.3,0.205
6,baseline,5.335,0.41500000000000004,0.515,0.4957627118644068,0.36,0.0,5.751159744000001,1.19,20.0,0.014100000000000001,0.28,0.275,0.26,0.185
7,baseline,5.845,0.365,0.505,0.49416342412451364,0.38,0.0,5.769927795200001,1.3,28.0,0.01405,0.33,0.205,0.23,0.235
8,baseline,6.79,0.27,0.51,0.5887096774193549,0.35,0.0,5.973942236160001,1.02,37.0,0.013399999999999999,0.285,0.245,0.275,0.195
9,baseline,5.675,0.375,0.575,0.5707762557077626,0.36,0.0,5.914153788928001,0.94,29.0,0.014400000000000001,0.25,0.24,0.285,0.225
10,baseline,5.855,0.37,0.445,0.5887850467289719,0.41,0.0,5.902323031142401,0.88,23.0,0.014250000000000002,0.295,0.235,0.24,0.23
11,baseline,6.245,0.31999999999999995,0.555,0.5811965811965812,0.34,0.0,5.970858424913921,0.98,21.0,0.014700000000000001,0.305,0.21,0.275,0.21
12,baseline,5.81,0.37,0.49,0.586046511627907,0.41,0.0,5.938686739931138,0.89,18.0,0.01425,0.32,0.225,0.26,0.195
13,baseline,5.435,0.405,0.515,0.6296296296296297,0.42,0.0,5.83794939194491,0.7,29.0,0.014300000000000002,0.305,0.235,0.25,0.21
14,baseline,5.99,0.35,0.51,0.6310679611650486,0.36,0.0,5.868359513555927,0.76,18.0,0.014400000000000001,0.33,0.255,0.26,0.155
15,baseline,6.09,0.33999999999999997,0.51,0.5764192139737991,0.39,0.0,5.912687610844743,0.97,10.0,0.01455,0.335,0.215,0.285,0.165
16,baseline,5.755,0.38,0.445,0.5511111111111111,0.34,0.0,5.881150088675795,1.01,15.0,0.014100000000000001,0.365,0.235,0.245,0.155
