step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,rider_density_cv,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,demand_only,4.825,0.47,0.475,0.6751592356687898,0.48,0.26166666666666666,5.365,0.51,0.0,0.01435,0.6595452979136459,0.255,0.2,0.275,0.27
1,demand_only,6.56,0.29000000000000004,0.54,0.6826923076923077,0.38,0.26166666666666666,5.604000000000001,0.66,0.0,0.0139,0.6244997998398398,0.325,0.23,0.215,0.23
2,demand_only,5.855,0.36,0.545,0.64,0.42,0.30199999999999994,5.6542,0.72,17.0,0.014150000000000001,0.6442049363362563,0.275,0.23,0.29,0.205
3,demand_only,5.75,0.37,0.55,0.7283236994219653,0.43,0.29,5.67336,0.47,15.0,0.015300000000000001,0.7280109889280518,0.25,0.3,0.245,0.205
4,demand_only,6.07,0.33499999999999996,0.58,0.6855670103092784,0.41,0.326,5.752688000000001,0.61,16.0,0.015300000000000001,0.7280109889280518,0.255,0.22,0.27,0.255
5,demand_only,5.575,0.385,0.575,0.615,0.37,0.24666666666666667,5.7171504,0.77,9.0,0.0155,0.7416198487095663,0.225,0.285,0.27,0.22
6,demand_only,5.845,0.355,0.605,0.645,0.39,0.3725,5.742720320000001,0.71,26.0,0.015950000000000002,0.7713624310270756,0.245,0.215,0.285,0.255
7,demand_only,5.74,0.365,0.61,0.6105769230769231,0.42,0.25333333333333335,5.7421762560000005,0.81,15.0,0.01565,0.7516648189186453,0.225,0.24,0.25,0.285
8,demand_only,5.65,0.385,0.5,0.5720930232558139,0.4,0.2516666666666667,5.723741004800002,0.92,17.0,0.016100000000000003,0.7810249675906654,0.28,0.245,0.275,0.2
9,demand_only,5.825,0.36,0.575,0.5663716814159292,0.37,0.2342857142857142,5.743992803840001,0.98,30.0,0.015000000000000001,0.7071067811865476,0.22,0.21,0.235,0.335
10,demand_only,6.64,0.28,0.56,0.5950413223140496,0.33,0.23857142857142855,5.923194243072001,0.98,23.0,0.0143,0.6557438524302001,0.235,0.26,0.29,0.215
11,demand_only,6.095,0.33499999999999996,0.555,0.5911111111111111,0.36,0.24666666666666665,5.957555394457601,0.92,21.0,0.014049999999999998,0.6363961030678927,0.215,0.25,0.26,0.275
12,demand_only,5.885,0.35,0.615,0.6018518518518519,0.42,0.30200000000000005,5.94304431556608,0.86,27.0,0.01415,0.6442049363362563,0.27,0.305,0.195,0.23
13,demand_only,5.81,0.365,0.54,0.625615763546798,0.39,0.284,5.916435452452865,0.76,25.0,0.0141,0.6403124237432849,0.21,0.3,0.26,0.23
