step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,demand_only,5.015,0.44999999999999996,0.485,0.7142857142857143,0.49,0.308,5.4030000000000005,0.44,0.0,0.013349999999999999,0.28,0.25,0.245,0.225
1,demand_only,5.23,0.42000000000000004,0.57,0.6444444444444445,0.44,0.27199999999999996,5.3684,0.64,0.0,0.0145,0.255,0.25,0.215,0.28
2,demand_only,5.735,0.375,0.515,0.6313131313131313,0.43,0.24166666666666664,5.44172,0.73,11.0,0.0135,0.26,0.255,0.24,0.245
3,demand_only,6.12,0.32999999999999996,0.58,0.5982142857142857,0.38,0.33599999999999997,5.577376000000002,0.9,17.0,0.01485,0.27,0.27,0.245,0.215
4,demand_only,6.14,0.32499999999999996,0.61,0.625,0.38,0.24833333333333332,5.6899008,0.81,23.0,0.0157,0.245,0.28,0.24,0.235
5,demand_only,5.91,0.35,0.59,0.6701030927835051,0.4,0.22833333333333328,5.733920640000001,0.64,24.0,0.014300000000000002,0.22,0.27,0.265,0.245
6,demand_only,5.4,0.405,0.55,0.6102564102564103,0.47,0.21428571428571425,5.667136512,0.76,19.0,0.013900000000000001,0.23,0.3,0.22,0.25
7,demand_only,5.815,0.365,0.535,0.6195121951219512,0.44,0.24166666666666664,5.696709209600001,0.78,16.0,0.01425,0.27,0.26,0.255,0.215
8,demand_only,6.085,0.33999999999999997,0.515,0.6346153846153846,0.36,0.25833333333333336,5.774367367679999,0.76,25.0,0.0149,0.275,0.26,0.24,0.225
9,demand_only,5.855,0.355,0.595,0.6,0.41,0.26499999999999996,5.790493894144001,0.86,20.0,0.01515,0.2,0.29,0.285,0.225
10,demand_only,6.455,0.29500000000000004,0.595,0.6025641025641025,0.33,0.3300000000000001,5.923395115315202,0.93,17.0,0.015750000000000004,0.305,0.245,0.255,0.195
11,demand_only,6.215,0.31499999999999995,0.635,0.6171171171171171,0.35,0.31,5.981716092252161,0.85,26.0,0.0159,0.235,0.22,0.23,0.315
12,demand_only,6.07,0.33499999999999996,0.58,0.6963350785340314,0.36,0.256,5.999372873801729,0.58,22.0,0.013950000000000004,0.255,0.25,0.255,0.24
13,demand_only,5.99,0.33999999999999997,0.61,0.7021276595744681,0.42,0.29600000000000004,5.997498299041383,0.56,18.0,0.0145,0.24,0.225,0.28,0.255
14,demand_only,5.335,0.41500000000000004,0.515,0.6964285714285714,0.47,0.24,5.864998639233106,0.51,8.0,0.01405,0.245,0.265,0.285,0.205
15,demand_only,5.615,0.38,0.585,0.7337278106508875,0.46,0.33,5.8149989113864855,0.45,14.0,0.014000000000000002,0.22,0.26,0.295,0.225
16,demand_only,5.46,0.395,0.59,0.6505376344086021,0.46,0.24666666666666665,5.743999129109188,0.65,7.0,0.014750000000000001,0.285,0.25,0.22,0.245
17,demand_only,5.63,0.38,0.57,0.6169154228855721,0.43,0.2128571428571428,5.721199303287351,0.77,13.0,0.014950000000000001,0.25,0.25,0.27,0.23
18,demand_only,5.71,0.37,0.59,0.6176470588235294,0.37,0.3475,5.718959442629881,0.78,12.0,0.015399999999999997,0.245,0.235,0.28,0.24
19,demand_only,5.42,0.4,0.58,0.6185567010309279,0.45,0.225,5.659167554103905,0.74,19.0,0.0147,0.26,0.215,0.275,0.25
20,demand_only,6.21,0.32499999999999996,0.54,0.6338028169014085,0.39,0.27,5.769334043283124,0.78,23.0,0.013849999999999998,0.245,0.255,0.27,0.23
21,demand_only,6.0,0.345,0.55,0.6150234741784038,0.34,0.24999999999999997,5.8154672346264995,0.82,15.0,0.01455,0.205,0.23,0.295,0.27
22,demand_only,6.15,0.33499999999999996,0.5,0.6273584905660378,0.39,0.25,5.882373787701201,0.79,20.0,0.0148,0.285,0.225,0.24,0.25
23,demand_only,5.8,0.36,0.6,0.6153846153846154,0.34,0.314,5.865899030160961,0.8,28.0,0.015600000000000003,0.24,0.23,0.27,0.26
24,demand_only,6.045,0.33999999999999997,0.555,0.6139534883720931,0.34,0.24833333333333332,5.90171922412877,0.83,14.0,0.014500000000000002,0.17,0.275,0.305,0.25
25,demand_only,6.5,0.29000000000000004,0.6,0.6826923076923077,0.36,0.3625,6.021375379303015,0.66,20.0,0.014050000000000003,0.255,0.24,0.29,0.215
26,demand_only,5.885,0.355,0.565,0.6649484536082474,0.42,0.355,5.994100303442412,0.65,14.0,0.015850000000000003,0.24,0.235,0.26,0.265
27,demand_only,6.055,0.33999999999999997,0.545,0.6839378238341969,0.41,0.20857142857142855,6.006280242753929,0.61,18.0,0.015050000000000001,0.21,0.26,0.285,0.245
28,demand_only,6.21,0.32499999999999996,0.54,0.6367924528301887,0.36,0.2733333333333333,6.047024194203144,0.77,13.0,0.014150000000000001,0.255,0.22,0.265,0.26
29,demand_only,6.45,0.30000000000000004,0.55,0.6306306306306306,0.38,0.308,6.127619355362515,0.82,9.0,0.014049999999999998,0.23,0.245,0.31,0.215
30,demand_only,6.36,0.31000000000000005,0.54,0.696969696969697,0.39,0.23499999999999996,6.174095484290012,0.6,25.0,0.0146,0.22,0.255,0.235,0.29
31,demand_only,6.655,0.275,0.595,0.7073170731707317,0.37,0.4075,6.270276387432011,0.6,18.0,0.01495,0.28,0.205,0.29,0.225
32,demand_only,5.115,0.43000000000000005,0.585,0.5968586387434555,0.44,0.3525,6.039221109945609,0.77,10.0,0.017400000000000002,0.24,0.24,0.25,0.27
33,demand_only,5.78,0.36,0.62,0.5541125541125541,0.35,0.34199999999999997,5.987376887956487,1.03,17.0,0.0156,0.255,0.2,0.28,0.265
34,demand_only,6.18,0.32999999999999996,0.52,0.6090909090909091,0.37,0.3475,6.02590151036519,0.86,22.0,0.014450000000000001,0.265,0.17,0.29,0.275
35,demand_only,5.095,0.43500000000000005,0.555,0.5947368421052631,0.43,0.21499999999999997,5.839721208292152,0.77,25.0,0.01465,0.24,0.24,0.29,0.23
36,demand_only,5.435,0.405,0.515,0.6467391304347826,0.44,0.3225,5.7587769666337225,0.65,22.0,0.014500000000000002,0.3,0.215,0.25,0.235
37,demand_only,5.315,0.405,0.635,0.6685393258426966,0.45,0.26400000000000007,5.670021573306979,0.59,19.0,0.01485,0.22,0.22,0.28,0.28
38,demand_only,6.58,0.28500000000000003,0.57,0.6190476190476191,0.28,0.30833333333333335,5.852017258645583,0.88,13.0,0.016,0.205,0.29,0.24,0.265
39,demand_only,6.2,0.31999999999999995,0.6,0.591304347826087,0.33,0.2228571428571428,5.921613806916466,0.94,14.0,0.01535,0.225,0.29,0.28,0.205
40,demand_only,6.105,0.32999999999999996,0.595,0.6350710900473934,0.36,0.288,5.958291045533173,0.77,27.0,0.016300000000000002,0.245,0.25,0.215,0.29
41,demand_only,5.61,0.385,0.54,0.6243654822335025,0.47,0.284,5.888632836426539,0.74,22.0,0.0151,0.225,0.255,0.285,0.235
42,demand_only,6.1,0.33499999999999996,0.55,0.6129032258064516,0.41,0.22571428571428565,5.93090626914123,0.84,15.0,0.013600000000000004,0.215,0.265,0.27,0.25
43,demand_only,5.91,0.345,0.64,0.6009174311926605,0.4,0.31,5.926725015312986,0.87,21.0,0.01635,0.16,0.27,0.3,0.27
44,demand_only,6.11,0.32999999999999996,0.59,0.5877192982456141,0.41,0.3340000000000001,5.963380012250388,0.94,26.0,0.015449999999999998,0.225,0.25,0.27,0.255
45,demand_only,5.9,0.355,0.55,0.5733333333333334,0.44,0.3825,5.950704009800311,0.96,22.0,0.01645,0.195,0.295,0.29,0.22
46,demand_only,5.115,0.43000000000000005,0.585,0.5728643216080402,0.47,0.3425,5.783563207840249,0.85,34.0,0.015499999999999998,0.265,0.24,0.26,0.235
47,demand_only,6.165,0.32999999999999996,0.535,0.6146788990825688,0.36,0.23285714285714276,5.859850566272198,0.84,30.0,0.0154,0.245,0.23,0.29,0.235
48,demand_only,6.29,0.31000000000000005,0.61,0.6301369863013698,0.34,0.26166666666666666,5.94588045301776,0.81,22.0,0.01535,0.21,0.295,0.265,0.23
49,demand_only,6.035,0.33999999999999997,0.565,0.5945945945945946,0.4,0.322,5.963704362414209,0.9,20.0,0.01465,0.27,0.255,0.27,0.205
50,demand_only,6.525,0.29000000000000004,0.575,0.570281124497992,0.3,0.35600000000000004,6.075963489931366,1.07,19.0,0.014950000000000001,0.215,0.28,0.225,0.28
51,demand_only,6.41,0.31000000000000005,0.49,0.5872340425531914,0.32,0.308,6.142770791945093,0.97,26.0,0.014550000000000002,0.25,0.21,0.31,0.23
52,demand_only,5.565,0.39,0.535,0.5727699530516432,0.38,0.245,6.027216633556074,0.91,31.0,0.01395,0.31,0.215,0.28,0.195
53,demand_only,6.12,0.33499999999999996,0.53,0.5990990990990991,0.4,0.316,6.04577330684486,0.89,27.0,0.013900000000000001,0.27,0.28,0.205,0.245
54,demand_only,6.225,0.32499999999999996,0.525,0.625,0.39,0.30200000000000005,6.081618645475889,0.81,24.0,0.014650000000000002,0.305,0.26,0.22,0.215
55,demand_only,5.935,0.35,0.565,0.625,0.39,0.298,6.052294916380711,0.78,22.0,0.0158,0.245,0.275,0.255,0.225
56,demand_only,5.615,0.385,0.535,0.6029411764705882,0.43,0.2157142857142857,5.964835933104569,0.81,25.0,0.01415,0.215,0.23,0.325,0.23
57,demand_only,6.32,0.31000000000000005,0.58,0.647887323943662,0.33,0.24666666666666667,6.035868746483655,0.75,16.0,0.014249999999999999,0.215,0.3,0.24,0.245
58,demand_only,6.605,0.28,0.595,0.64,0.33,0.32199999999999995,6.149694997186924,0.81,11.0,0.0154,0.225,0.3,0.215,0.26
59,demand_only,5.865,0.36,0.535,0.5871559633027523,0.41,0.2516666666666667,6.09275599774954,0.9,14.0,0.013649999999999999,0.23,0.24,0.26,0.27
60,demand_only,6.55,0.28500000000000003,0.6,0.6412556053811659,0.36,0.2171428571428571,6.184204798199631,0.8,19.0,0.01365,0.21,0.2,0.35,0.24
61,demand_only,5.675,0.375,0.575,0.628140703517588,0.39,0.335,6.082363838559706,0.74,15.0,0.015299999999999998,0.245,0.235,0.285,0.235
62,demand_only,5.06,0.43999999999999995,0.54,0.6436781609195402,0.49,0.25599999999999995,5.877891070847764,0.62,28.0,0.01475,0.24,0.225,0.295,0.24
63,demand_only,5.665,0.375,0.585,0.6684491978609626,0.43,0.3575,5.835312856678213,0.62,18.0,0.01565,0.235,0.245,0.235,0.285
64,demand_only,6.205,0.31999999999999995,0.595,0.6355140186915887,0.38,0.32800000000000007,5.909250285342569,0.78,12.0,0.015700000000000002,0.205,0.245,0.275,0.275
65,demand_only,5.755,0.365,0.595,0.6479591836734694,0.39,0.3525,5.878400228274057,0.69,23.0,0.014850000000000002,0.255,0.24,0.24,0.265
66,demand_only,5.735,0.365,0.615,0.6580310880829016,0.45,0.3525,5.8497201826192455,0.66,17.0,0.0148,0.21,0.21,0.305,0.275
67,demand_only,5.82,0.355,0.63,0.6292682926829268,0.4,0.25666666666666665,5.843776146095397,0.76,15.0,0.014750000000000003,0.205,0.245,0.25,0.3
68,demand_only,6.065,0.32999999999999996,0.635,0.6600985221674877,0.34,0.286,5.888020916876317,0.69,16.0,0.01415,0.265,0.28,0.225,0.23
69,demand_only,6.585,0.28,0.615,0.6486486486486487,0.39,0.33399999999999996,6.027416733501054,0.78,14.0,0.015000000000000003,0.21,0.225,0.305,0.26
70,demand_only,6.815,0.27,0.485,0.6606334841628959,0.3,0.314,6.184933386800843,0.75,14.0,0.015350000000000003,0.21,0.265,0.305,0.22
