step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,rider_density_cv,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,supply_adjusted,5.845,0.37,0.455,0.7159090909090909,0.42,0.25142857142857133,5.569000000000001,0.5,0.0,0.01365,0.6041522986797286,0.21,0.285,0.245,0.26
1,supply_adjusted,5.905,0.355,0.545,0.671875,0.42,0.4077777777777778,5.6362,0.63,0.0,0.0137,0.6082762530298219,0.27,0.205,0.265,0.26
2,supply_adjusted,6.155,0.32499999999999996,0.595,0.6398104265402843,0.39,0.4529411764705882,5.739960000000001,0.76,11.0,0.0139,0.6244997998398398,0.29,0.24,0.205,0.265
3,supply_adjusted,6.175,0.32999999999999996,0.525,0.6504854368932039,0.41,0.501578947368421,5.826968000000002,0.72,17.0,0.01385,0.6204836822995429,0.23,0.24,0.205,0.325
4,supply_adjusted,6.21,0.31499999999999995,0.64,0.6884422110552764,0.43,0.465625,5.9035744,0.62,19.0,0.014449999999999998,0.6670832032063166,0.28,0.235,0.25,0.235
5,supply_adjusted,5.78,0.365,0.57,0.6225490196078431,0.38,0.5599999999999999,5.878859520000001,0.77,6.0,0.01535,0.7314369419163897,0.235,0.25,0.23,0.285
6,supply_adjusted,5.96,0.33999999999999997,0.64,0.5919282511210763,0.37,0.5404545454545454,5.8950876160000005,0.91,20.0,0.014950000000000001,0.7035623639735145,0.24,0.275,0.215,0.27
7,supply_adjusted,6.065,0.33499999999999996,0.585,0.5859030837004405,0.37,0.5331818181818181,5.9290700928,0.94,10.0,0.014599999999999997,0.6782329983125268,0.26,0.23,0.26,0.25
8,supply_adjusted,6.435,0.29500000000000004,0.615,0.6497695852534562,0.37,0.5361111111111111,6.030256074240001,0.76,25.0,0.014400000000000001,0.6633249580710799,0.3,0.195,0.245,0.26
9,supply_adjusted,5.905,0.35,0.595,0.6074766355140186,0.38,0.5383333333333333,6.005204859392002,0.84,17.0,0.0133,0.5744562646538028,0.28,0.22,0.245,0.255
10,supply_adjusted,5.585,0.39,0.515,0.6069651741293532,0.37,0.4660000000000001,5.921163887513601,0.79,14.0,0.014849999999999999,0.6964194138592059,0.3,0.195,0.265,0.24
11,supply_adjusted,5.75,0.365,0.6,0.6135265700483091,0.44,0.5259090909090909,5.886931110010881,0.8,22.0,0.014350000000000002,0.6595452979136459,0.28,0.24,0.2,0.28
