step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,supply_adjusted,5.6,0.39,0.5,0.8133333333333334,0.45,0.3,5.520000000000001,0.28,0.0,0.01365,0.295,0.225,0.25,0.23
1,supply_adjusted,6.06,0.32999999999999996,0.64,0.708994708994709,0.41,0.5588235294117646,5.628000000000001,0.55,0.0,0.013349999999999999,0.28,0.22,0.22,0.28
2,supply_adjusted,6.175,0.32499999999999996,0.575,0.6308411214953271,0.34,0.43111111111111106,5.737400000000001,0.79,3.0,0.01385,0.27,0.265,0.23,0.235
3,supply_adjusted,5.765,0.355,0.685,0.6548223350253807,0.37,0.5138888888888888,5.742920000000001,0.68,10.0,0.015600000000000001,0.225,0.24,0.24,0.295
4,supply_adjusted,5.705,0.365,0.645,0.625615763546798,0.4,0.5294444444444444,5.735336,0.76,15.0,0.01545,0.26,0.27,0.195,0.275
5,supply_adjusted,6.185,0.31999999999999995,0.615,0.6355140186915887,0.37,0.5552380952380952,5.825268800000001,0.78,14.0,0.01385,0.24,0.24,0.265,0.255
6,supply_adjusted,5.51,0.39,0.59,0.6321243523316062,0.41,0.48736842105263156,5.762215040000001,0.71,18.0,0.014099999999999998,0.295,0.23,0.245,0.23
7,supply_adjusted,6.25,0.31999999999999995,0.55,0.6384976525821596,0.36,0.4213043478260869,5.859772032,0.77,14.0,0.014449999999999998,0.285,0.235,0.225,0.255
8,supply_adjusted,5.49,0.39,0.61,0.5781990521327014,0.4,0.5052173913043478,5.7858176256,0.89,17.0,0.015149999999999999,0.26,0.245,0.24,0.255
9,supply_adjusted,5.665,0.365,0.685,0.5825688073394495,0.34,0.5921739130434782,5.76165410048,0.91,15.0,0.0149,0.24,0.24,0.26,0.26
10,supply_adjusted,6.08,0.32999999999999996,0.62,0.6473429951690821,0.37,0.5255555555555556,5.825323280384001,0.73,23.0,0.01455,0.27,0.265,0.23,0.235
11,supply_adjusted,6.145,0.32499999999999996,0.605,0.7180851063829787,0.41,0.4615000000000001,5.889258624307201,0.53,20.0,0.013499999999999998,0.285,0.255,0.19,0.27
12,supply_adjusted,5.385,0.4,0.615,0.6593406593406593,0.45,0.4022222222222222,5.788406899445761,0.62,13.0,0.013900000000000001,0.225,0.275,0.245,0.255
13,supply_adjusted,6.325,0.30500000000000005,0.625,0.6619047619047619,0.32,0.4775,5.895725519556609,0.71,6.0,0.013499999999999998,0.265,0.275,0.195,0.265
14,supply_adjusted,5.53,0.385,0.62,0.640625,0.41,0.44,5.822580415645287,0.69,11.0,0.014250000000000006,0.27,0.225,0.21,0.295
15,supply_adjusted,6.065,0.32999999999999996,0.635,0.6871794871794872,0.36,0.5494117647058823,5.87106433251623,0.61,13.0,0.01415,0.245,0.25,0.215,0.29
16,supply_adjusted,6.16,0.32499999999999996,0.59,0.6490384615384616,0.37,0.5078947368421052,5.928851466012984,0.73,10.0,0.014950000000000001,0.27,0.19,0.24,0.3
17,supply_adjusted,6.255,0.31499999999999995,0.595,0.6555023923444976,0.37,0.4725,5.994081172810387,0.72,11.0,0.013500000000000002,0.295,0.26,0.2,0.245
18,supply_adjusted,6.375,0.30500000000000005,0.575,0.6619047619047619,0.37,0.45117647058823523,6.070264938248311,0.71,19.0,0.014750000000000001,0.325,0.195,0.2,0.28
19,supply_adjusted,5.49,0.39,0.61,0.6192893401015228,0.48,0.5159090909090909,5.954211950598649,0.75,12.0,0.01485,0.27,0.25,0.235,0.245
20,supply_adjusted,6.675,0.275,0.575,0.6473214285714286,0.36,0.5660714285714286,6.098369560478919,0.79,12.0,0.013200000000000002,0.285,0.23,0.225,0.26
21,supply_adjusted,5.73,0.365,0.62,0.5906976744186047,0.41,0.480625,6.024695648383135,0.88,18.0,0.015550000000000003,0.27,0.245,0.2,0.285
22,supply_adjusted,5.975,0.33999999999999997,0.625,0.6027397260273972,0.39,0.485,6.014756518706508,0.87,20.0,0.01515,0.25,0.265,0.19,0.295
23,supply_adjusted,6.065,0.33499999999999996,0.585,0.6584158415841584,0.33,0.4504761904761904,6.024805214965206,0.69,29.0,0.01545,0.26,0.2,0.275,0.265
24,supply_adjusted,5.74,0.365,0.61,0.6105769230769231,0.43,0.581,5.967844171972165,0.81,15.0,0.013550000000000003,0.26,0.195,0.255,0.29
25,supply_adjusted,6.17,0.31999999999999995,0.63,0.5787234042553191,0.36,0.48,6.008275337577732,0.99,11.0,0.014849999999999999,0.285,0.245,0.185,0.285
26,supply_adjusted,5.895,0.35,0.605,0.6532663316582915,0.41,0.5122727272727272,5.985620270062186,0.69,28.0,0.014450000000000001,0.265,0.21,0.3,0.225
27,supply_adjusted,6.33,0.30500000000000005,0.62,0.6376146788990825,0.35,0.4361111111111111,6.054496216049749,0.79,18.0,0.014750000000000003,0.29,0.195,0.235,0.28
28,supply_adjusted,6.53,0.28500000000000003,0.62,0.65,0.38,0.5875,6.149596972839801,0.77,14.0,0.013850000000000001,0.26,0.28,0.21,0.25
29,supply_adjusted,6.08,0.31999999999999995,0.72,0.6868686868686869,0.36,0.38526315789473675,6.135677578271841,0.62,13.0,0.01415,0.26,0.235,0.21,0.295
30,supply_adjusted,5.32,0.405,0.63,0.6134020618556701,0.39,0.4936842105263157,5.972542062617472,0.75,12.0,0.0154,0.25,0.27,0.205,0.275
31,supply_adjusted,5.98,0.33999999999999997,0.62,0.6470588235294118,0.38,0.56125,5.974033650093977,0.72,14.0,0.0151,0.215,0.24,0.24,0.305
32,supply_adjusted,5.28,0.41000000000000003,0.62,0.59,0.4,0.5604166666666667,5.835226920075184,0.82,17.0,0.016000000000000004,0.245,0.25,0.26,0.245
33,supply_adjusted,6.47,0.29500000000000004,0.58,0.5899581589958159,0.38,0.5531818181818182,5.962181536060146,0.98,21.0,0.013149999999999998,0.26,0.24,0.23,0.27
34,supply_adjusted,6.275,0.31000000000000005,0.625,0.6188340807174888,0.33,0.42555555555555563,6.024745228848117,0.85,18.0,0.016,0.25,0.255,0.2,0.295
35,supply_adjusted,6.085,0.33499999999999996,0.565,0.6303317535545023,0.37,0.5057894736842105,6.036796183078494,0.78,24.0,0.01475,0.27,0.215,0.225,0.29
36,supply_adjusted,6.18,0.32499999999999996,0.57,0.6,0.33,0.5165217391304348,6.065436946462795,0.9,16.0,0.0157,0.31,0.23,0.24,0.22
37,supply_adjusted,6.12,0.31999999999999995,0.68,0.5836909871244635,0.36,0.5704761904761904,6.076349557170237,0.97,22.0,0.015700000000000002,0.235,0.275,0.235,0.255
38,supply_adjusted,6.05,0.32999999999999996,0.65,0.6063348416289592,0.36,0.5552380952380953,6.07107964573619,0.87,21.0,0.0155,0.28,0.23,0.23,0.26
39,supply_adjusted,5.805,0.36,0.595,0.6274509803921569,0.41,0.47150000000000003,6.017863716588952,0.76,22.0,0.014450000000000001,0.245,0.255,0.215,0.285
40,supply_adjusted,5.545,0.385,0.605,0.6,0.36,0.528888888888889,5.923290973271162,0.82,18.0,0.015100000000000002,0.265,0.28,0.215,0.24
41,supply_adjusted,6.92,0.25,0.58,0.684931506849315,0.31,0.46238095238095234,6.1226327786169294,0.69,15.0,0.0142,0.31,0.185,0.215,0.29
42,supply_adjusted,5.8,0.36,0.6,0.6213592233009708,0.39,0.41944444444444445,6.058106222893545,0.78,12.0,0.0165,0.23,0.275,0.24,0.255
43,supply_adjusted,5.93,0.35,0.57,0.5882352941176471,0.39,0.5381818181818183,6.0324849783148355,0.91,20.0,0.01415,0.32,0.245,0.205,0.23
44,supply_adjusted,6.475,0.29500000000000004,0.575,0.618421052631579,0.37,0.4095833333333333,6.120987982651868,0.87,18.0,0.01345,0.295,0.205,0.25,0.25
45,supply_adjusted,6.065,0.32999999999999996,0.635,0.6666666666666666,0.39,0.49133333333333334,6.109790386121494,0.67,22.0,0.01475,0.29,0.205,0.22,0.285
46,supply_adjusted,5.7,0.37,0.6,0.6146341463414634,0.35,0.4354545454545455,6.027832308897196,0.79,15.0,0.0161,0.245,0.255,0.265,0.235
47,supply_adjusted,6.445,0.29500000000000004,0.605,0.6211453744493393,0.28,0.5548000000000002,6.111265847117757,0.86,12.0,0.014849999999999999,0.345,0.18,0.21,0.265
48,supply_adjusted,6.415,0.29500000000000004,0.635,0.6077586206896551,0.3,0.4955,6.172012677694206,0.91,13.0,0.014050000000000002,0.27,0.225,0.185,0.32
49,supply_adjusted,6.22,0.31499999999999995,0.63,0.5956521739130435,0.38,0.4629411764705882,6.181610142155365,0.93,18.0,0.015149999999999999,0.285,0.225,0.215,0.275
