step,scenario,avg_income,idle_rate,movement_rate,matching_rate,congestion_frequency,avg_heatmap,recent_payoff_mean,avg_queue,expired_orders,rider_concentration_hhi,rider_density_cv,strategy_conservative,strategy_imitator,strategy_crowd_avoider,strategy_explorer
0,supply_adjusted,4.675,0.48,0.525,0.7027027027027027,0.51,0.24666666666666667,5.335,0.44,0.0,0.014150000000000001,0.6442049363362563,0.24,0.27,0.215,0.275
1,supply_adjusted,6.085,0.33499999999999996,0.565,0.7037037037037037,0.38,0.45875,5.485,0.56,0.0,0.01485,0.6964194138592059,0.27,0.265,0.25,0.215
2,supply_adjusted,6.025,0.33499999999999996,0.625,0.6717171717171717,0.44,0.4608,5.593,0.65,12.0,0.014549999999999999,0.6745368781616021,0.22,0.275,0.255,0.25
3,supply_adjusted,5.715,0.365,0.635,0.6414141414141414,0.44,0.4689999999999999,5.6174,0.71,7.0,0.014400000000000003,0.6633249580710799,0.24,0.345,0.175,0.24
4,supply_adjusted,5.73,0.365,0.62,0.616504854368932,0.4,0.5281818181818181,5.639920000000002,0.79,21.0,0.014299999999999998,0.6557438524302001,0.24,0.245,0.28,0.235
5,supply_adjusted,6.08,0.33499999999999996,0.57,0.6100917431192661,0.42,0.4619047619047619,5.727936000000001,0.85,13.0,0.014249999999999999,0.6519202405202649,0.29,0.23,0.24,0.24
6,supply_adjusted,5.665,0.37,0.635,0.5502183406113537,0.4,0.5173913043478261,5.7153488,1.03,17.0,0.015600000000000001,0.7483314773547883,0.27,0.28,0.245,0.205
7,supply_adjusted,5.81,0.365,0.54,0.6076555023923444,0.36,0.4485714285714286,5.734279040000001,0.82,27.0,0.013650000000000002,0.6041522986797286,0.27,0.305,0.22,0.205
8,supply_adjusted,6.405,0.31000000000000005,0.495,0.6,0.37,0.46153846153846145,5.868423232000001,0.92,22.0,0.0136,0.6,0.255,0.235,0.29,0.22
9,supply_adjusted,6.555,0.28500000000000003,0.595,0.6137339055793991,0.31,0.489375,6.0057385856000005,0.9,9.0,0.014600000000000002,0.6782329983125268,0.24,0.245,0.27,0.245
10,supply_adjusted,6.145,0.32499999999999996,0.605,0.6221198156682027,0.38,0.5295454545454544,6.033590868480001,0.82,21.0,0.014799999999999999,0.6928203230275509,0.295,0.24,0.19,0.275
